ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
3,"$20,000-$24,999",2016,"2016",2144,318,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04537758211987809
12,"$100,000-$124,999",2016,"2016",9856915,44470,"United States","01000US","united-states",0.08373454037610802
9,"$50,000-$59,999",2016,"2016",3314,364,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.0701405350491026
6,"$35,000-$39,999",2016,"2016",5404041,15856,"United States","01000US","united-states",0.04590735431000908
2,"$15,000-$19,999",2016,"2016",2136,335,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04520826278360989
13,"$125,000-$149,999",2016,"2016",6028908,33311,"United States","01000US","united-states",0.051215602483113694
12,"$100,000-$124,999",2016,"2016",4165,392,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.08815187944463258
3,"$20,000-$24,999",2016,"2016",6094929,15803,"United States","01000US","united-states",0.051776451195938246
1,"$10,000-$14,999",2016,"2016",2010,258,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.042541483237385706
14,"$150,000-$199,999",2016,"2016",6369156,36256,"United States","01000US","united-states",0.05410601088106477
8,"$45,000-$49,999",2016,"2016",1702,273,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.03602268879105994
7,"$40,000-$44,999",2016,"2016",5408687,15420.000000000002,"United States","01000US","united-states",0.045946822102374885
0,"< $10,000",2016,"2016",4967,385,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.1051261429055198
15,"$200,000+",2016,"2016",6670686,37386,"United States","01000US","united-states",0.05666750968262772
15,"$200,000+",2016,"2016",3696,296,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.07822553335590925
8,"$45,000-$49,999",2015,"2015",4807116,14457,"United States","01000US","united-states",0.041112357052589664
0,"< $10,000",2015,"2015",8421482,18763,"United States","01000US","united-states",0.07202384442063743
15,"$200,000+",2015,"2015",6139038,32967,"United States","01000US","united-states",0.05250348071804715
1,"$10,000-$14,999",2015,"2015",2068,282,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.043833061319654934
14,"$150,000-$199,999",2015,"2015",6010418,32124,"United States","01000US","united-states",0.05140347161402218
2,"$15,000-$19,999",2015,"2015",2077,279,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.044023824159053815
13,"$125,000-$149,999",2015,"2015",5775363,31309.000000000004,"United States","01000US","united-states",0.04939318829924541
3,"$20,000-$24,999",2015,"2015",2129,310,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.045126009453358484
12,"$100,000-$124,999",2015,"2015",9581177,47995,"United States","01000US","united-states",0.08194201467325937
4,"$25,000-$29,999",2015,"2015",2047,268,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.0433879480277242
11,"$75,000-$99,999",2015,"2015",14166538,49496,"United States","01000US","united-states",0.12115783527068609
5,"$30,000-$34,999",2015,"2015",2313,320,"Ann Arbor, MI","16000US2603000","ann-arbor-mi",0.04902604972551347
